(0, 0)
(0.007, 0.197)
(0.028, 0.388)
(0.063, 0.573)
(0.112, 0.752)
(0.175, 0.925)
(0.252, 1.092)
(0.343, 1.253)
(0.448, 1.408)
(0.567, 1.557)
(0.7, 1.7)
(0.75, 1.764)
(0.78, 1.836)
(0.79, 1.916)
(0.78, 2.004)
(0.75, 2.1)
(0.7, 2.204)
(0.63, 2.316)
(0.54, 2.436)
(0.43, 2.564)
(0.3, 2.7)
(0.236, 2.764)
(0.164, 2.836)
(0.084, 2.916)
(-0.004, 3.004)
(-0.1, 3.1)
(-0.204, 3.204)
(-0.316, 3.316)
(-0.436, 3.436)
(-0.564, 3.564)
(-0.7, 3.7)
(-0.75, 3.764)
(-0.78, 3.836)
(-0.79, 3.916)
(-0.78, 4.004)
(-0.75, 4.1)
(-0.7, 4.204)
(-0.63, 4.316)
(-0.54, 4.436)
(-0.43, 4.564)
(-0.3, 4.7)
(-0.233, 4.767)
(-0.152, 4.848)
(-0.057, 4.943)
(0.052, 5.052)
(0.175, 5.175)
(0.312, 5.312)
(0.463, 5.463)
(0.628, 5.628)
(0.807, 5.807)
(-0.3, 0)
(-0.293, 0.197)
(-0.272, 0.388)
(-0.237, 0.573)
(-0.188, 0.752)
(-0.125, 0.925)
(-0.048, 1.092)
(0.043, 1.253)
(0.148, 1.408)
(0.267, 1.557)
(0.4, 1.7)
(0.45, 1.764)
(0.48, 1.836)
(0.49, 1.916)
(0.48, 2.004)
(0.45, 2.1)
(0.4, 2.204)
(0.33, 2.316)
(0.24, 2.436)
(0.13, 2.564)
(0, 2.7)
(-0.064, 2.764)
(-0.136, 2.836)
(-0.216, 2.916)
(-0.304, 3.004)
(-0.4, 3.1)
(-0.504, 3.204)
(-0.616, 3.316)
(-0.736, 3.436)
(-0.864, 3.564)
(-1, 3.7)
(-1.05, 3.764)
(-1.08, 3.836)
(-1.09, 3.916)
(-1.08, 4.004)
(-1.05, 4.1)
(-1, 4.204)
(-0.93, 4.316)
(-0.84, 4.436)
(-0.73, 4.564)
(-0.6, 4.7)
(-0.533, 4.767)
(-0.452, 4.848)
(-0.357, 4.943)
(-0.248, 5.052)
(-0.125, 5.175)
(0.012, 5.312)
(0.163, 5.463)
(0.328, 5.628)
(0.507, 5.807)
(0.3, 0)
(0.307, 0.197)
(0.328, 0.388)
(0.363, 0.573)
(0.412, 0.752)
(0.475, 0.925)
(0.552, 1.092)
(0.643, 1.253)
(0.748, 1.408)
(0.867, 1.557)
(1, 1.7)
(1.05, 1.764)
(1.08, 1.836)
(1.09, 1.916)
(1.08, 2.004)
(1.05, 2.1)
(1, 2.204)
(0.93, 2.316)
(0.84, 2.436)
(0.73, 2.564)
(0.6, 2.7)
(0.536, 2.764)
(0.464, 2.836)
(0.384, 2.916)
(0.296, 3.004)
(0.2, 3.1)
(0.096, 3.204)
(-0.016, 3.316)
(-0.136, 3.436)
(-0.264, 3.564)
(-0.4, 3.7)
(-0.45, 3.764)
(-0.48, 3.836)
(-0.49, 3.916)
(-0.48, 4.004)
(-0.45, 4.1)
(-0.4, 4.204)
(-0.33, 4.316)
(-0.24, 4.436)
(-0.13, 4.564)
(0, 4.7)
(0.067, 4.767)
(0.148, 4.848)
(0.243, 4.943)
(0.352, 5.052)
(0.475, 5.175)
(0.612, 5.312)
(0.763, 5.463)
(0.928, 5.628)
(1.107, 5.807)
