(0, 0)
(0.007, 0.197)
(0.028, 0.388)
(0.063, 0.573)
(0.112, 0.752)
(0.175, 0.925)
(0.252, 1.092)
(0.343, 1.253)
(0.448, 1.408)
(0.567, 1.557)
(0.7, 1.7)
(0.75, 1.764)
(0.78, 1.836)
(0.79, 1.916)
(0.78, 2.004)
(0.75, 2.1)
(0.7, 2.204)
(0.63, 2.316)
(0.54, 2.436)
(0.43, 2.564)
(0.3, 2.7)
(0.236, 2.764)
(0.164, 2.836)
(0.084, 2.916)
(-0.004, 3.004)
(-0.1, 3.1)
(-0.204, 3.204)
(-0.316, 3.316)
(-0.436, 3.436)
(-0.564, 3.564)
(-0.7, 3.7)
(-0.75, 3.764)
(-0.78, 3.836)
(-0.79, 3.916)
(-0.78, 4.004)
(-0.75, 4.1)
(-0.7, 4.204)
(-0.63, 4.316)
(-0.54, 4.436)
(-0.43, 4.564)
(-0.3, 4.7)
(-0.233, 4.767)
(-0.152, 4.848)
(-0.057, 4.943)
(0.052, 5.052)
(0.175, 5.175)
(0.312, 5.312)
(0.463, 5.463)
(0.628, 5.628)
(0.807, 5.807)
