(0, 0)
(0.005, 0.195)
(0.02, 0.38)
(0.045, 0.555)
(0.08, 0.72)
(0.125, 0.875)
(0.18, 1.02)
(0.245, 1.155)
(0.32, 1.28)
(0.405, 1.395)
(0.5, 1.5)
(0.59, 1.6)
(0.66, 1.7)
(0.71, 1.8)
(0.74, 1.9)
(0.75, 2)
(0.74, 2.1)
(0.71, 2.2)
(0.66, 2.3)
(0.59, 2.4)
(0.5, 2.5)
(0.4, 2.6)
(0.3, 2.7)
(0.2, 2.8)
(0.1, 2.9)
(0, 3)
(-0.1, 3.1)
(-0.2, 3.2)
(-0.3, 3.3)
(-0.4, 3.4)
(-0.5, 3.5)
(-0.59, 3.6)
(-0.66, 3.7)
(-0.71, 3.8)
(-0.74, 3.9)
(-0.75, 4)
(-0.74, 4.1)
(-0.71, 4.2)
(-0.66, 4.3)
(-0.59, 4.4)
(-0.5, 4.5)
(-0.395, 4.605)
(-0.28, 4.72)
(-0.155, 4.845)
(-0.02, 4.98)
(0.125, 5.125)
(0.28, 5.28)
(0.445, 5.445)
(0.62, 5.62)
(0.805, 5.805)
