(0, 0)
(0.003, 0.193)
(0.012, 0.372)
(0.027, 0.537)
(0.048, 0.688)
(0.075, 0.825)
(0.108, 0.948)
(0.147, 1.057)
(0.192, 1.152)
(0.243, 1.233)
(0.3, 1.3)
(0.43, 1.436)
(0.54, 1.564)
(0.63, 1.684)
(0.7, 1.796)
(0.75, 1.9)
(0.78, 1.996)
(0.79, 2.084)
(0.78, 2.164)
(0.75, 2.236)
(0.7, 2.3)
(0.564, 2.436)
(0.436, 2.564)
(0.316, 2.684)
(0.204, 2.796)
(0.1, 2.9)
(0.004, 2.996)
(-0.084, 3.084)
(-0.164, 3.164)
(-0.236, 3.236)
(-0.3, 3.3)
(-0.43, 3.436)
(-0.54, 3.564)
(-0.63, 3.684)
(-0.7, 3.796)
(-0.75, 3.9)
(-0.78, 3.996)
(-0.79, 4.084)
(-0.78, 4.164)
(-0.75, 4.236)
(-0.7, 4.3)
(-0.557, 4.443)
(-0.408, 4.592)
(-0.253, 4.747)
(-0.092, 4.908)
(0.075, 5.075)
(0.248, 5.248)
(0.427, 5.427)
(0.612, 5.612)
(0.803, 5.803)
