(0, 0)
(0, 0.197)
(0, 0.388)
(0, 0.573)
(0, 0.752)
(0, 0.925)
(0, 1.092)
(0, 1.253)
(0, 1.408)
(0, 1.557)
(0, 1.7)
(0, 1.764)
(0, 1.836)
(0, 1.916)
(0, 2.004)
(0, 2.1)
(0, 2.204)
(0, 2.316)
(0, 2.436)
(0, 2.564)
(0, 2.7)
(0, 2.764)
(0, 2.836)
(0, 2.916)
(0, 3.004)
(0, 3.1)
(0, 3.204)
(0, 3.316)
(0, 3.436)
(0, 3.564)
(0, 3.7)
(0, 3.764)
(0, 3.836)
(0, 3.916)
(0, 4.004)
(0, 4.1)
(0, 4.204)
(0, 4.316)
(0, 4.436)
(0, 4.564)
(0, 4.7)
(0, 4.767)
(0, 4.848)
(0, 4.943)
(0, 5.052)
(0, 5.175)
(0, 5.312)
(0, 5.463)
(0, 5.628)
(0, 5.807)
