(0, 0)
(0.005, 0.195)
(0.02, 0.38)
(0.045, 0.555)
(0.08, 0.72)
(0.125, 0.875)
(0.18, 1.02)
(0.245, 1.155)
(0.32, 1.28)
(0.405, 1.395)
(0.5, 1.5)
(0.59, 1.6)
(0.66, 1.7)
(0.71, 1.8)
(0.74, 1.9)
(0.75, 2)
(0.74, 2.1)
(0.71, 2.2)
(0.66, 2.3)
(0.59, 2.4)
(0.5, 2.5)
(0.4, 2.6)
(0.3, 2.7)
(0.2, 2.8)
(0.1, 2.9)
(0, 3)
(-0.1, 3.1)
(-0.2, 3.2)
(-0.3, 3.3)
(-0.4, 3.4)
(-0.5, 3.5)
(-0.59, 3.6)
(-0.66, 3.7)
(-0.71, 3.8)
(-0.74, 3.9)
(-0.75, 4)
(-0.74, 4.1)
(-0.71, 4.2)
(-0.66, 4.3)
(-0.59, 4.4)
(-0.5, 4.5)
(-0.395, 4.605)
(-0.28, 4.72)
(-0.155, 4.845)
(-0.02, 4.98)
(0.125, 5.125)
(0.28, 5.28)
(0.445, 5.445)
(0.62, 5.62)
(0.805, 5.805)
(-0.3, 0)
(-0.294901, 0.20269)
(-0.279019, 0.404245)
(-0.251985, 0.597426)
(-0.21347, 0.782251)
(-0.163104, 0.958643)
(-0.100499, 1.1264)
(-0.0253005, 1.28514)
(0.0627521, 1.43435)
(0.163747, 1.57332)
(0.277539, 1.70127)
(0.367012, 1.80069)
(0.41423, 1.87204)
(0.441672, 1.93416)
(0.452652, 1.9862)
(0.451489, 2.02985)
(0.441489, 2.07015)
(0.422652, 2.1138)
(0.391672, 2.16584)
(0.34423, 2.22796)
(0.277012, 2.29931)
(0.187868, 2.38787)
(0.087868, 2.48787)
(-0.012132, 2.58787)
(-0.112132, 2.68787)
(-0.212132, 2.78787)
(-0.312132, 2.88787)
(-0.412132, 2.98787)
(-0.512132, 3.08787)
(-0.612132, 3.18787)
(-0.712132, 3.28787)
(-0.812988, 3.39931)
(-0.90577, 3.52796)
(-0.978328, 3.66584)
(-1.02735, 3.8138)
(-1.04851, 3.97015)
(-1.03851, 4.12985)
(-0.997348, 4.2862)
(-0.928328, 4.43416)
(-0.83577, 4.57204)
(-0.722988, 4.70069)
(-0.182868, 4.39287)
(-0.492132, 4.93213)
(0.057132, 4.63287)
(0.192132, 4.76787)
(-0.087132, 5.33713)
(0.067868, 5.49213)
(0.232868, 5.65713)
(0.832132, 5.40787)
(0.592868, 6.01713)
(0.3, 0)
(0.304901, 0.18731)
(0.319019, 0.355755)
(0.341985, 0.512574)
(0.37347, 0.657749)
(0.413104, 0.791357)
(0.460499, 0.913604)
(0.515301, 1.02486)
(0.577248, 1.12565)
(0.646253, 1.21668)
(0.722461, 1.29873)
(0.812988, 1.39931)
(0.90577, 1.52796)
(0.978328, 1.66584)
(1.02735, 1.8138)
(1.04851, 1.97015)
(1.03851, 2.12985)
(0.997348, 2.2862)
(0.928328, 2.43416)
(0.83577, 2.57204)
(0.722988, 2.70069)
(0.612132, 2.81213)
(0.512132, 2.91213)
(0.412132, 3.01213)
(0.312132, 3.11213)
(0.212132, 3.21213)
(0.112132, 3.31213)
(0.012132, 3.41213)
(-0.087868, 3.51213)
(-0.187868, 3.61213)
(-0.287868, 3.71213)
(-0.367012, 3.80069)
(-0.41423, 3.87204)
(-0.441672, 3.93416)
(-0.452652, 3.9862)
(-0.451489, 4.02985)
(-0.441489, 4.07015)
(-0.422652, 4.1138)
(-0.391672, 4.16584)
(-0.34423, 4.22796)
(-0.277012, 4.29931)
(-0.607132, 4.81713)
(-0.067868, 4.50787)
(-0.367132, 5.05713)
(-0.232132, 5.19213)
(0.337132, 4.91287)
(0.492132, 5.06787)
(0.657132, 5.23287)
(0.407868, 5.83213)
(1.01713, 5.59287)
