(0, 0)
(0.007, 0.197)
(0.028, 0.388)
(0.063, 0.573)
(0.112, 0.752)
(0.175, 0.925)
(0.252, 1.092)
(0.343, 1.253)
(0.448, 1.408)
(0.567, 1.557)
(0.7, 1.7)
(0.75, 1.764)
(0.78, 1.836)
(0.79, 1.916)
(0.78, 2.004)
(0.75, 2.1)
(0.7, 2.204)
(0.63, 2.316)
(0.54, 2.436)
(0.43, 2.564)
(0.3, 2.7)
(0.236, 2.764)
(0.164, 2.836)
(0.084, 2.916)
(-0.004, 3.004)
(-0.1, 3.1)
(-0.204, 3.204)
(-0.316, 3.316)
(-0.436, 3.436)
(-0.564, 3.564)
(-0.7, 3.7)
(-0.75, 3.764)
(-0.78, 3.836)
(-0.79, 3.916)
(-0.78, 4.004)
(-0.75, 4.1)
(-0.7, 4.204)
(-0.63, 4.316)
(-0.54, 4.436)
(-0.43, 4.564)
(-0.3, 4.7)
(-0.233, 4.767)
(-0.152, 4.848)
(-0.057, 4.943)
(0.052, 5.052)
(0.175, 5.175)
(0.312, 5.312)
(0.463, 5.463)
(0.628, 5.628)
(0.807, 5.807)
(-0.3, 0)
(-0.299811, 0.0106532)
(-0.291203, 0.229787)
(-0.266771, 0.443768)
(-0.226354, 0.652209)
(-0.16989, 0.854654)
(-0.0974355, 1.05061)
(-0.00916885, 1.23962)
(0.0946244, 1.42125)
(0.213586, 1.59522)
(0.347326, 1.76131)
(0.463593, 1.88469)
(0.473077, 1.87938)
(0.482317, 1.87321)
(0.491918, 1.88213)
(0.493656, 1.91452)
(0.479624, 1.97001)
(0.445601, 2.045)
(0.39, 2.136)
(0.312474, 2.24047)
(0.213138, 2.35671)
(0.087868, 2.48787)
(0.023868, 2.55187)
(-0.048132, 2.62387)
(-0.128132, 2.70387)
(-0.216132, 2.79187)
(-0.312132, 2.88787)
(-0.416132, 2.99187)
(-0.528132, 3.10387)
(-0.648132, 3.22387)
(-0.776132, 3.35187)
(-0.936407, 3.51531)
(-1.02692, 3.64862)
(-1.07768, 3.79879)
(-1.08808, 3.94987)
(-1.06634, 4.09348)
(-1.02038, 4.22999)
(-0.954399, 4.363)
(-0.87, 4.496)
(-0.767526, 4.63153)
(-0.646862, 4.77129)
(-0.512132, 4.91213)
(-0.445132, 4.97913)
(0.060132, 4.63587)
(0.155132, 4.73087)
(-0.160132, 5.26413)
(-0.037132, 5.38713)
(0.524132, 5.09987)
(0.250868, 5.67513)
(0.415868, 5.84013)
(0.3, 0)
(0.299811, -0.0106532)
(0.305203, 0.164213)
(0.322771, 0.332232)
(0.352354, 0.493791)
(0.39389, 0.649346)
(0.447436, 0.799386)
(0.513169, 0.944383)
(0.591376, 1.08475)
(0.682414, 1.22078)
(0.786674, 1.35269)
(0.936407, 1.51531)
(1.02692, 1.64862)
(1.07768, 1.79879)
(1.08808, 1.94987)
(1.06634, 2.09348)
(1.02038, 2.22999)
(0.954399, 2.363)
(0.87, 2.496)
(0.767526, 2.63153)
(0.646862, 2.77129)
(0.512132, 2.91213)
(0.448132, 2.97613)
(0.376132, 3.04813)
(0.296132, 3.12813)
(0.208132, 3.21613)
(0.112132, 3.31213)
(0.00813203, 3.41613)
(-0.103868, 3.52813)
(-0.223868, 3.64813)
(-0.351868, 3.77613)
(-0.463593, 3.88469)
(-0.473077, 3.87938)
(-0.482317, 3.87321)
(-0.491918, 3.88213)
(-0.493656, 3.91452)
(-0.479624, 3.97001)
(-0.445601, 4.045)
(-0.39, 4.136)
(-0.312474, 4.24047)
(-0.213138, 4.35671)
(-0.087868, 4.48787)
(-0.020868, 4.55487)
(-0.364132, 5.06013)
(-0.269132, 5.15513)
(0.264132, 4.83987)
(0.387132, 4.96287)
(0.099868, 5.52413)
(0.675132, 5.25087)
(0.840132, 5.41587)
