(0, 0)
(0.005, 0.195)
(0.02, 0.38)
(0.045, 0.555)
(0.08, 0.72)
(0.125, 0.875)
(0.18, 1.02)
(0.245, 1.155)
(0.32, 1.28)
(0.405, 1.395)
(0.5, 1.5)
(0.59, 1.6)
(0.66, 1.7)
(0.71, 1.8)
(0.74, 1.9)
(0.75, 2)
(0.74, 2.1)
(0.71, 2.2)
(0.66, 2.3)
(0.59, 2.4)
(0.5, 2.5)
(0.4, 2.6)
(0.3, 2.7)
(0.2, 2.8)
(0.1, 2.9)
(0, 3)
(-0.1, 3.1)
(-0.2, 3.2)
(-0.3, 3.3)
(-0.4, 3.4)
(-0.5, 3.5)
(-0.59, 3.6)
(-0.66, 3.7)
(-0.71, 3.8)
(-0.74, 3.9)
(-0.75, 4)
(-0.74, 4.1)
(-0.71, 4.2)
(-0.66, 4.3)
(-0.59, 4.4)
(-0.5, 4.5)
(-0.395, 4.605)
(-0.28, 4.72)
(-0.155, 4.845)
(-0.02, 4.98)
(0.125, 5.125)
(0.28, 5.28)
(0.445, 5.445)
(0.62, 5.62)
(0.805, 5.805)
(-0.5, 0)
(-0.494836, 0.207816)
(-0.478365, 0.420408)
(-0.449975, 0.625711)
(-0.409117, 0.823752)
(-0.355173, 1.01441)
(-0.287499, 1.19733)
(-0.205501, 1.37191)
(-0.108746, 1.53725)
(0.00291193, 1.6922)
(0.129232, 1.83546)
(0.218353, 1.93448)
(0.250384, 1.98673)
(0.262786, 2.02361)
(0.261087, 2.04367)
(0.252481, 2.04975)
(0.242481, 2.05025)
(0.231087, 2.05633)
(0.212786, 2.07639)
(0.180384, 2.11327)
(0.128353, 2.16552)
(0.0464466, 2.24645)
(-0.0535534, 2.34645)
(-0.153553, 2.44645)
(-0.253553, 2.54645)
(-0.353553, 2.64645)
(-0.453553, 2.74645)
(-0.553553, 2.84645)
(-0.653553, 2.94645)
(-0.753553, 3.04645)
(-0.853553, 3.14645)
(-0.961647, 3.26552)
(-1.06962, 3.41327)
(-1.15721, 3.57639)
(-1.21891, 3.75633)
(-1.24752, 3.95025)
(-1.23752, 4.14975)
(-1.18891, 4.34367)
(-1.10721, 4.52361)
(-0.999616, 4.68673)
(-0.871647, 4.83448)
(-0.0414466, 4.25145)
(-0.633553, 5.07355)
(0.198553, 4.49145)
(0.333553, 4.62645)
(-0.228553, 5.47855)
(-0.0735534, 5.63355)
(0.0914466, 5.79855)
(0.973553, 5.26645)
(0.451447, 6.15855)
(0.5, 0)
(0.504836, 0.182184)
(0.518365, 0.339592)
(0.539975, 0.484289)
(0.569117, 0.616248)
(0.605173, 0.735595)
(0.647499, 0.842673)
(0.695501, 0.938092)
(0.748746, 1.02275)
(0.807088, 1.0978)
(0.870768, 1.16454)
(0.961647, 1.26552)
(1.06962, 1.41327)
(1.15721, 1.57639)
(1.21891, 1.75633)
(1.24752, 1.95025)
(1.23752, 2.14975)
(1.18891, 2.34367)
(1.10721, 2.52361)
(0.999616, 2.68673)
(0.871647, 2.83448)
(0.753553, 2.95355)
(0.653553, 3.05355)
(0.553553, 3.15355)
(0.453553, 3.25355)
(0.353553, 3.35355)
(0.253553, 3.45355)
(0.153553, 3.55355)
(0.0535534, 3.65355)
(-0.0464466, 3.75355)
(-0.146447, 3.85355)
(-0.218353, 3.93448)
(-0.250384, 3.98673)
(-0.262786, 4.02361)
(-0.261087, 4.04367)
(-0.252481, 4.04975)
(-0.242481, 4.05025)
(-0.231087, 4.05633)
(-0.212786, 4.07639)
(-0.180384, 4.11327)
(-0.128353, 4.16552)
(-0.748553, 4.95855)
(0.0735534, 4.36645)
(-0.508553, 5.19855)
(-0.373553, 5.33355)
(0.478553, 4.77145)
(0.633553, 4.92645)
(0.798553, 5.09145)
(0.266447, 5.97355)
(1.15855, 5.45145)
